2022-08-03,10:30:08,fDOM (RFU),-0.24,RFU,G
2022-08-03,10:30:08,DO Conc,8.02,mg/,G
2022-08-03,10:30:09,Temperature,21.99,C,G
2022-08-03,10:30:09,Phyco,-4.03,,G
2022-08-03,10:30:09,Salinity,0.00,,G
2022-08-03,10:30:09,fDOM (QSU),-0.71,QSU,G
2022-08-03,10:30:09,DO (% Sat),91.67,%,G
2022-08-03,10:30:09,Chl,-0.10,RFU,G
2022-08-03,10:30:09,sp. Cond,5.49,,G
2022-08-03,10:30:09,Turbidity,9.94,,G
2022-08-03,10:30:09,Conductivit,5.17,,G
2022-08-03,10:30:09,fDOM (RFU),-0.20,RFU,G
2022-08-03,10:30:09,DO Conc,8.02,mg/,G
2022-08-03,10:30:10,Temperature,21.99,C,G
2022-08-03,10:30:10,Phyco,-4.01,,G
2022-08-03,10:30:10,Salinity,0.00,,G
2022-08-03,10:30:10,fDOM (QSU),-0.61,QSU,G
2022-08-03,10:30:10,DO (% Sat),91.65,%,G
2022-08-03,10:30:10,Chl,-0.13,RFU,G
2022-08-03,10:30:10,sp. Cond,5.48,,G
2022-08-03,10:30:10,Turbidity,9.91,,G
2022-08-03,10:30:10,Conductivit,5.17,,G
2022-08-03,10:30:10,fDOM (RFU),0.05,RFU,G
2022-08-03,10:30:10,DO Conc,8.01,mg/,G
2022-08-03,10:30:11,Phyco,-3.89,,G
2022-08-03,10:30:11,Temperature,21.99,C,G
2022-08-03,10:30:11,Salinity,0.00,,G
2022-08-03,10:30:11,fDOM (QSU),0.15,QSU,G
2022-08-03,10:30:10,NO3-N,0.00,mg/,G
2022-08-03,10:30:10,NO3,0.00,mg/,G
2022-08-03,10:30:10,SQI,1.0,%,G
2022-08-03,10:30:11,DO (% Sat),91.63,%,G
2022-08-03,10:30:11,Chl,-0.05,RFU,G
2022-08-03,10:30:11,sp. Cond,5.47,,G
2022-08-03,10:30:11,Turbidity,9.89,,G
2022-08-03,10:30:11,Conductivit,5.15,,G
2022-08-03,10:30:11,fDOM (RFU),-0.03,RFU,G
2022-08-03,10:30:11,DO Conc,8.01,mg/,G
2022-08-03,10:30:12,Temperature,21.99,C,G
2022-08-03,10:30:12,Phyco,-3.93,,G
2022-08-03,10:30:12,Salinity,0.00,,G
2022-08-03,10:30:12,fDOM (QSU),-0.09,QSU,G
2022-08-03,10:30:12,DO (% Sat),91.63,%,G
2022-08-03,10:30:12,Chl,-0.05,RFU,G
2022-08-03,10:30:12,sp. Cond,5.46,,G
2022-08-03,10:30:12,Turbidity,9.83,,G
2022-08-03,10:30:12,Conductivit,5.15,,G
2022-08-03,10:30:12,fDOM (RFU),-0.12,RFU,G
2022-08-03,10:30:12,DO Conc,8.01,mg/,G
2022-08-03,10:30:13,Phyco,-3.98,,G
2022-08-03,10:30:13,Temperature,21.99,C,G
2022-08-03,10:30:13,Salinity,0.00,,G
2022-08-03,10:30:13,fDOM (QSU),-0.37,QSU,G
2022-08-03,10:30:13,DO (% Sat),91.63,%,G
2022-08-03,10:30:13,Chl,-0.06,RFU,G
2022-08-03,10:30:13,sp. Cond,5.47,,G
2022-08-03,10:30:13,Turbidity,9.82,,G
2022-08-03,10:30:13,Conductivit,5.15,,G
2022-08-03,10:30:13,fDOM (RFU),-0.27,RFU,G
2022-08-03,10:30:13,DO Conc,8.01,mg/,G
2022-08-03,10:30:14,Temperature,22.00,C,G
2022-08-03,10:30:14,Phyco,-3.96,,G
2022-08-03,10:30:14,Salinity,0.00,,G
2022-08-03,10:30:14,fDOM (QSU),-0.80,QSU,G
2022-08-03,10:30:14,DO (% Sat),91.65,%,G
2022-08-03,10:30:14,Chl,-0.04,RFU,G
2022-08-03,10:30:14,sp. Cond,5.48,,G
2022-08-03,10:30:14,Turbidity,9.83,,G
2022-08-03,10:30:14,Conductivit,5.16,,G
2022-08-03,10:30:14,fDOM (RFU),-0.24,RFU,G
2022-08-03,10:30:14,DO Conc,8.01,mg/,G
